n,support_fake,support_real,accuracy,macro_f1,weighted_f1,fake_precision,fake_recall,fake_f1,real_precision,real_recall,real_f1,mcc,TP,TN,FP,FN,source_name,n_total,n_used_metrics,n_excluded_undefined,split,accuracy_ci_low,accuracy_ci_high,macro_f1_ci_low,macro_f1_ci_high,fake_f1_ci_low,fake_f1_ci_high,mcc_ci_low,mcc_ci_high
6281,2197,4084,0.9434803375258717,0.937299817162487,0.9432139357860706,0.9360795454545454,0.8998634501593081,0.917614295660246,0.9472295514511874,0.9669441723800196,0.956985338664728,0.8750194616442647,1977,3949,135,220,classic_models::bertimbau_large__svc_rbf,6281,6281,0,val,0.9377487661200445,0.9490526986148703,0.9308614053061495,0.9436978250260498,0.9088397309465315,0.9259731458192447,0.8623706369324504,0.8876865695658568
6281,2197,4084,0.9371119248527304,0.9301729291580845,0.936786002327679,0.9282319391634981,0.88893946290396,0.9081608928156243,0.9415848695235816,0.963026444662096,0.9521849655005448,0.8608450887524991,1953,3933,151,244,classic_models::bertimbau_base__svc_rbf,6281,6281,0,val,0.9312211431300749,0.9430027065753861,0.9238062653145964,0.9368542762432751,0.8993318738607533,0.9170373164537059,0.8482664664970733,0.8741434265029838
6281,2197,4084,0.9363158732685878,0.9292969202904668,0.9359895753029551,0.9268408551068884,0.888029130632681,0.9070199907019991,0.9410919540229885,0.9622918707149853,0.9515738498789347,0.8590817745487387,1951,3930,154,246,classic_models::albertina_ptbr_900m__svc_rbf,6281,6281,0,val,0.9304250915459322,0.942365865308072,0.9227134670627509,0.9358705478031814,0.8980919661632484,0.9157568784805907,0.8460419828190695,0.8721631935307622
6281,2197,4084,0.9261264129915618,0.918129743157908,0.9258168119180225,0.9085337105139085,0.8771051433773327,0.8925428439092172,0.9350961538461539,0.9524975514201763,0.9437166424065987,0.8365868806554192,1927,3890,194,270,classic_models::albertina_ptbr_100m__svc_rbf,6281,6281,0,val,0.9194395796847635,0.9324948256647031,0.9108401697454761,0.9250652021950512,0.8825427133743246,0.9017114360639045,0.8220743104721273,0.8503740051282205
6281,2197,4084,0.8944435599426843,0.8821043421259711,0.8935630547343066,0.8737816764132553,0.8161128812016386,0.8439632854789362,0.9044691416410499,0.9365817825661117,0.9202453987730062,0.7653660809196876,1793,3825,259,404,classic_models::albertina_ptbr_900m__logreg,6281,6281,0,val,0.8868014647349148,0.9020856551504538,0.8737036637436233,0.8905651894706732,0.8320333551442689,0.8556140434269862,0.7485962851095387,0.7822506934439422
6281,2197,4084,0.8922146155070848,0.8800258962591636,0.8915144643015349,0.8650336215177714,0.8197542102867547,0.841785463893433,0.9056918313884258,0.9311949069539667,0.9182663286248943,0.7607730269238414,1801,3803,281,396,classic_models::albertina_ptbr_900m__linearsvc,6281,6281,0,val,0.8845725202993154,0.8996975003980258,0.8714626265117054,0.888443133441732,0.8302305722190265,0.8535741950266712,0.7437392375450416,0.7777709802502117
6281,2197,4084,0.8861646234676007,0.870442977719261,0.884001819367852,0.8908227848101266,0.7687756030951297,0.8253115074517469,0.8841505131128848,0.9493143976493633,0.9155744479867753,0.7459896621820556,1689,3877,207,508,classic_models::albertina_ptbr_900m__knn,6281,6281,0,val,0.8783633179430027,0.8942843496258558,0.8614807973619452,0.8796243273266159,0.8128991147370496,0.8380501339854751,0.7292895490398638,0.7634877030185033
6281,2197,4084,0.885050151249801,0.8691580657856318,0.8828576387737028,0.8891820580474934,0.7669549385525717,0.8235581622678397,0.883264933880529,0.9485798237022527,0.9147579693034239,0.7434464841020313,1685,3874,210,512,classic_models::albertina_ptbr_900m__gradient_boosting,6281,6281,0,val,0.8770856551504538,0.8926922464575705,0.8598906279596376,0.8780976165629273,0.810809175584103,0.8366273697146054,0.7255577235572136,0.7605058141164893
6281,2197,4084,0.8801146314281165,0.8667377215785212,0.8794222587072581,0.8447946513849093,0.8051888939462903,0.8245164297366582,0.8977788392643897,0.9204211557296768,0.9089590134203844,0.7340427694883278,1769,3759,325,428,classic_models::bertimbau_large__linearsvc,6281,6281,0,val,0.8718356949530329,0.8882343575863716,0.8578972449056036,0.875592937104312,0.8125555885283661,0.8371033337849223,0.7162888471223304,0.7517643652376109
6281,2197,4084,0.8823435758637159,0.8651987820764868,0.8796417400570677,0.8953362255965293,0.7514792899408284,0.8171244741400644,0.8769438810006761,0.9527424094025465,0.9132730900129092,0.7374662087424526,1651,3891,193,546,classic_models::bertimbau_large__knn,6281,6281,0,val,0.8743790797643688,0.890463302021971,0.8560029145433156,0.8742546324225389,0.8039364230540701,0.8295240619049287,0.7196867962443263,0.754809691864264
6281,2197,4084,0.8810698933290877,0.8645761743379059,0.8787749187431797,0.8831923890063424,0.7605826126536186,0.8173147468818782,0.8801549327865117,0.9458863858961802,0.9118376017939337,0.7343576907561251,1671,3863,221,526,classic_models::bertimbau_base__knn,6281,6281,0,val,0.8734277981213182,0.8888711988536857,0.8559799513787758,0.8732684471799707,0.8045915359210392,0.8294798215136888,0.7177813948280664,0.751244445329123
