model,embedding_model,classifier,cv_best_f1_macro,val_acc,val_f1_macro,test_acc,test_f1_macro,best_params
albertina_ptbr_900m__svc_rbf,albertina_ptbr_900m,svc_rbf,0.9195695137773852,0.9363158732685878,0.9292969202904668,0.937589555803216,0.9312376349887785,"{'clf__C': 10.0, 'clf__gamma': 'scale'}"
bertimbau_large__svc_rbf,bertimbau_large,svc_rbf,0.9211105372301137,0.9434803375258717,0.937299817162487,0.9367935042190734,0.9305006644441696,"{'clf__C': 10.0, 'clf__gamma': 'scale'}"
bertimbau_base__svc_rbf,bertimbau_base,svc_rbf,0.9186216870505145,0.9371119248527304,0.9301729291580845,0.9352014010507881,0.9284761950993363,"{'clf__C': 10.0, 'clf__gamma': 'scale'}"
albertina_ptbr_100m__svc_rbf,albertina_ptbr_100m,svc_rbf,0.901979364872517,0.9261264129915618,0.918129743157908,0.9251711510905907,0.9173603529457872,"{'clf__C': 10.0, 'clf__gamma': 'scale'}"
albertina_ptbr_900m__linearsvc,albertina_ptbr_900m,linearsvc,0.8700755184563945,0.8922146155070848,0.8800258962591636,0.8941251393090273,0.882728980610125,{'clf__C': 0.01}
albertina_ptbr_900m__logreg,albertina_ptbr_900m,logreg,0.8714247886320545,0.8944435599426843,0.8821043421259711,0.8923738258239133,0.8803782183551186,"{'clf__C': 0.01, 'clf__solver': 'liblinear'}"
albertina_ptbr_900m__knn,albertina_ptbr_900m,knn,0.85772258572922,0.8861646234676007,0.870442977719261,0.8861646234676007,0.8712463966012305,"{'clf__metric': 'minkowski', 'clf__n_neighbors': 7, 'clf__weights': 'distance'}"
bertimbau_large__linearsvc,bertimbau_large,linearsvc,0.8587548061178653,0.8801146314281165,0.8667377215785212,0.8791593695271454,0.8662697107737694,{'clf__C': 0.01}
bertimbau_large__logreg,bertimbau_large,logreg,0.8586004892114852,0.8780448973093457,0.8640535195425153,0.8761343735074033,0.8627564214906487,"{'clf__C': 0.01, 'clf__solver': 'liblinear'}"
bertimbau_base__knn,bertimbau_base,knn,0.8495054942761379,0.8810698933290877,0.8645761743379059,0.8766120044578889,0.859712482024831,"{'clf__metric': 'minkowski', 'clf__n_neighbors': 5, 'clf__weights': 'distance'}"
albertina_ptbr_900m__gradient_boosting,albertina_ptbr_900m,gradient_boosting,0.8617302194996861,0.885050151249801,0.8691580657856318,0.8747014806559466,0.8578604472641854,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 200}"
bertimbau_large__knn,bertimbau_large,knn,0.8432507782968971,0.8823435758637159,0.8651987820764868,0.8756567425569177,0.8573888470883182,"{'clf__metric': 'minkowski', 'clf__n_neighbors': 5, 'clf__weights': 'distance'}"
bertimbau_large__gradient_boosting,bertimbau_large,gradient_boosting,0.8546453589263313,0.8785225282598312,0.8621607788641674,0.8707212227352332,0.8538328436038951,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 200}"
albertina_ptbr_100m__knn,albertina_ptbr_100m,knn,0.8392263276074766,0.8702435917847476,0.8524718359357899,0.8707212227352332,0.8537970436580558,"{'clf__metric': 'minkowski', 'clf__n_neighbors': 7, 'clf__weights': 'distance'}"
albertina_ptbr_900m__random_forest,albertina_ptbr_900m,random_forest,0.8459514580968918,0.8783633179430027,0.8581103537119876,0.8726317465371756,0.8523278176679974,"{'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 500}"
bertimbau_large__random_forest,bertimbau_large,random_forest,0.8428357862565189,0.8785225282598312,0.8583556670894457,0.8715172743193759,0.8517406936976661,"{'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 500}"
bertimbau_base__linearsvc,bertimbau_base,linearsvc,0.8472992099964131,0.8626014965769782,0.8466105651120599,0.8651488616462347,0.849106312036334,{'clf__C': 0.01}
bertimbau_base__logreg,bertimbau_base,logreg,0.845734601032938,0.8627607068938067,0.8468760718801105,0.864352810062092,0.84861778965835,"{'clf__C': 0.1, 'clf__solver': 'liblinear'}"
bertimbau_base__gradient_boosting,bertimbau_base,gradient_boosting,0.8480431639072026,0.8718356949530329,0.8539873679359038,0.8654672822798918,0.8473090951930852,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 200}"
bertimbau_base__random_forest,bertimbau_base,random_forest,0.8354234428873869,0.8702435917847476,0.8481893016624542,0.8670593854481771,0.8461819903675949,"{'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 500}"
albertina_ptbr_100m__logreg,albertina_ptbr_100m,logreg,0.8359328093234856,0.8638751791116064,0.8476456887011322,0.8560738735870085,0.8390451009708504,"{'clf__C': 0.1, 'clf__solver': 'liblinear'}"
albertina_ptbr_100m__linearsvc,albertina_ptbr_100m,linearsvc,0.8369584048042246,0.8640343894284349,0.8477707213886465,0.8546409807355516,0.8373861277427989,{'clf__C': 0.1}
albertina_ptbr_100m__gradient_boosting,albertina_ptbr_100m,gradient_boosting,0.8304807522423245,0.8563922942206655,0.8354873011780065,0.8508199331316669,0.8294792815033878,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 200}"
albertina_ptbr_100m__random_forest,albertina_ptbr_100m,random_forest,0.8110620183187028,0.8557554529533514,0.8286791238137627,0.8543225601018946,0.8280286453599409,"{'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 500}"
albertina_ptbr_900m__decision_tree,albertina_ptbr_900m,decision_tree,0.7509291569856656,0.7904792230536539,0.7583908774374888,0.7880910683012259,0.75851907337189,"{'clf__criterion': 'gini', 'clf__max_depth': 10, 'clf__min_samples_split': 2}"
bertimbau_base__decision_tree,bertimbau_base,decision_tree,0.7361405923775254,0.7802897627766279,0.7415031466557747,0.7753542429549435,0.7367973949672046,"{'clf__criterion': 'gini', 'clf__max_depth': 10, 'clf__min_samples_split': 2}"
bertimbau_large__decision_tree,bertimbau_large,decision_tree,0.7317343833888459,0.7712147747174017,0.7359283216223131,0.7667568858462028,0.7340047630548592,"{'clf__criterion': 'gini', 'clf__max_depth': 10, 'clf__min_samples_split': 5}"
albertina_ptbr_100m__decision_tree,albertina_ptbr_100m,decision_tree,0.7222487340232799,0.7587963700047763,0.7244332751052324,0.7583187390542907,0.7203264157624593,"{'clf__criterion': 'gini', 'clf__max_depth': 10, 'clf__min_samples_split': 2}"
bertimbau_base__gaussian_nb,bertimbau_base,gaussian_nb,0.600935680114537,0.6408215252348353,0.6011457330563578,0.6384333704824072,0.5996909312180938,{'clf__var_smoothing': 1e-09}
bertimbau_large__gaussian_nb,bertimbau_large,gaussian_nb,0.5962153898218413,0.6279254895717242,0.5970746837036855,0.6264925967202675,0.5955615599935357,{'clf__var_smoothing': 1e-09}
albertina_ptbr_100m__gaussian_nb,albertina_ptbr_100m,gaussian_nb,0.5919264956739498,0.6280846998885528,0.5928801778668058,0.6264925967202675,0.5902929359188498,{'clf__var_smoothing': 1e-09}
albertina_ptbr_900m__gaussian_nb,albertina_ptbr_900m,gaussian_nb,0.5921984209442139,0.6172583983442127,0.5884795721360818,0.6183728705620124,0.5882832791740549,{'clf__var_smoothing': 1e-09}
