idx,dataset_id,label_id,split,embedding_model
FAKETRUEBR_002326,FAKETRUEBR,1,train,albertina_ptbr_100m
FRECOGNA_007206,FRECOGNA,0,train,albertina_ptbr_100m
FRECOGNA_006644,FRECOGNA,1,train,albertina_ptbr_100m
FAKEBR_002041,FAKEBR,1,train,albertina_ptbr_100m
FRECOGNA_002802,FRECOGNA,0,train,albertina_ptbr_100m
FAKETRUEBR_001704,FAKETRUEBR,0,train,albertina_ptbr_100m
CENTRALFATOS_review_17754,CENTRALFATOS,0,train,albertina_ptbr_100m
FRECOGNA_004180,FRECOGNA,1,train,albertina_ptbr_100m
CENTRALFATOS_review_04738,CENTRALFATOS,0,train,albertina_ptbr_100m
FRECOGNA_000470,FRECOGNA,0,train,albertina_ptbr_100m
FAKEBR_006855,FAKEBR,1,train,albertina_ptbr_100m
FCN_002027,FCN,1,train,albertina_ptbr_100m
FAKEBR_000979,FAKEBR,1,train,albertina_ptbr_100m
MUMINPT_000600,MUMINPT,0,train,albertina_ptbr_100m
FRECOGNA_003367,FRECOGNA,0,train,albertina_ptbr_100m
FCN_000810,FCN,0,train,albertina_ptbr_100m
FRECOGNA_009640,FRECOGNA,0,train,albertina_ptbr_100m
FCN_000805,FCN,0,train,albertina_ptbr_100m
FRECOGNA_007016,FRECOGNA,0,train,albertina_ptbr_100m
CENTRALFATOS_review_19798,CENTRALFATOS,0,train,albertina_ptbr_100m
FCN_000716,FCN,0,train,albertina_ptbr_100m
MUMINPT_001204,MUMINPT,0,train,albertina_ptbr_100m
FAKETRUEBR_001567,FAKETRUEBR,0,train,albertina_ptbr_100m
CENTRALFATOS_review_09862,CENTRALFATOS,0,train,albertina_ptbr_100m
FAKEBR_000769,FAKEBR,1,train,albertina_ptbr_100m
FAKETRUEBR_000106,FAKETRUEBR,0,train,albertina_ptbr_100m
FAKEBR_004537,FAKEBR,1,train,albertina_ptbr_100m
CENTRALFATOS_review_01428,CENTRALFATOS,0,train,albertina_ptbr_100m
CENTRALFATOS_review_10728,CENTRALFATOS,0,train,albertina_ptbr_100m
FRECOGNA_006111,FRECOGNA,0,train,albertina_ptbr_100m
FRECOGNA_009872,FRECOGNA,1,train,albertina_ptbr_100m
FRECOGNA_001518,FRECOGNA,0,train,albertina_ptbr_100m
FRECOGNA_010408,FRECOGNA,0,train,albertina_ptbr_100m
FRECOGNA_000856,FRECOGNA,0,train,albertina_ptbr_100m
MUMINPT_000274,MUMINPT,0,train,albertina_ptbr_100m
CENTRALFATOS_review_01720,CENTRALFATOS,0,train,albertina_ptbr_100m
CENTRALFATOS_review_09742,CENTRALFATOS,0,train,albertina_ptbr_100m
CENTRALFATOS_review_13996,CENTRALFATOS,0,train,albertina_ptbr_100m
CENTRALFATOS_review_08458,CENTRALFATOS,0,train,albertina_ptbr_100m
FRECOGNA_009610,FRECOGNA,1,train,albertina_ptbr_100m
FAKEBR_003358,FAKEBR,0,train,albertina_ptbr_100m
CENTRALFATOS_review_04303,CENTRALFATOS,0,train,albertina_ptbr_100m
FRECOGNA_009634,FRECOGNA,0,train,albertina_ptbr_100m
FAKETRUEBR_002632,FAKETRUEBR,1,train,albertina_ptbr_100m
