idx,dataset_id,label_id,split,embedding_model
FAKETRUEBR_002326,FAKETRUEBR,1,train,bertimbau_large
FRECOGNA_007206,FRECOGNA,0,train,bertimbau_large
FRECOGNA_006644,FRECOGNA,1,train,bertimbau_large
FAKEBR_002041,FAKEBR,1,train,bertimbau_large
FRECOGNA_002802,FRECOGNA,0,train,bertimbau_large
FAKETRUEBR_001704,FAKETRUEBR,0,train,bertimbau_large
CENTRALFATOS_review_17754,CENTRALFATOS,0,train,bertimbau_large
FRECOGNA_004180,FRECOGNA,1,train,bertimbau_large
CENTRALFATOS_review_04738,CENTRALFATOS,0,train,bertimbau_large
FRECOGNA_000470,FRECOGNA,0,train,bertimbau_large
FAKEBR_006855,FAKEBR,1,train,bertimbau_large
FCN_002027,FCN,1,train,bertimbau_large
FAKEBR_000979,FAKEBR,1,train,bertimbau_large
MUMINPT_000600,MUMINPT,0,train,bertimbau_large
FRECOGNA_003367,FRECOGNA,0,train,bertimbau_large
FCN_000810,FCN,0,train,bertimbau_large
FRECOGNA_009640,FRECOGNA,0,train,bertimbau_large
FCN_000805,FCN,0,train,bertimbau_large
FRECOGNA_007016,FRECOGNA,0,train,bertimbau_large
CENTRALFATOS_review_19798,CENTRALFATOS,0,train,bertimbau_large
FCN_000716,FCN,0,train,bertimbau_large
MUMINPT_001204,MUMINPT,0,train,bertimbau_large
FAKETRUEBR_001567,FAKETRUEBR,0,train,bertimbau_large
CENTRALFATOS_review_09862,CENTRALFATOS,0,train,bertimbau_large
FAKEBR_000769,FAKEBR,1,train,bertimbau_large
FAKETRUEBR_000106,FAKETRUEBR,0,train,bertimbau_large
FAKEBR_004537,FAKEBR,1,train,bertimbau_large
CENTRALFATOS_review_01428,CENTRALFATOS,0,train,bertimbau_large
CENTRALFATOS_review_10728,CENTRALFATOS,0,train,bertimbau_large
FRECOGNA_006111,FRECOGNA,0,train,bertimbau_large
FRECOGNA_009872,FRECOGNA,1,train,bertimbau_large
FRECOGNA_001518,FRECOGNA,0,train,bertimbau_large
FRECOGNA_010408,FRECOGNA,0,train,bertimbau_large
FRECOGNA_000856,FRECOGNA,0,train,bertimbau_large
MUMINPT_000274,MUMINPT,0,train,bertimbau_large
CENTRALFATOS_review_01720,CENTRALFATOS,0,train,bertimbau_large
CENTRALFATOS_review_09742,CENTRALFATOS,0,train,bertimbau_large
CENTRALFATOS_review_13996,CENTRALFATOS,0,train,bertimbau_large
CENTRALFATOS_review_08458,CENTRALFATOS,0,train,bertimbau_large
FRECOGNA_009610,FRECOGNA,1,train,bertimbau_large
FAKEBR_003358,FAKEBR,0,train,bertimbau_large
CENTRALFATOS_review_04303,CENTRALFATOS,0,train,bertimbau_large
FRECOGNA_009634,FRECOGNA,0,train,bertimbau_large
FAKETRUEBR_002632,FAKETRUEBR,1,train,bertimbau_large
FRECOGNA_006366,FRECOGNA,0,train,bertimbau_large
CENTRALFATOS_review_01581,CENTRALFATOS,0,train,bertimbau_large
FAKEBR_000606,FAKEBR,0,train,bertimbau_large
CENTRALFATOS_review_10352,CENTRALFATOS,0,train,bertimbau_large
FCN_000694,FCN,0,train,bertimbau_large
FAKEBR_000995,FAKEBR,1,train,bertimbau_large
FAKETRUEBR_002087,FAKETRUEBR,1,train,bertimbau_large
CENTRALFATOS_review_00658,CENTRALFATOS,0,train,bertimbau_large
CENTRALFATOS_review_09838,CENTRALFATOS,0,train,bertimbau_large
FRECOGNA_008631,FRECOGNA,0,train,bertimbau_large
FAKETRUEBR_003423,FAKETRUEBR,1,train,bertimbau_large
FAKETRUEBR_002168,FAKETRUEBR,1,train,bertimbau_large
CENTRALFATOS_review_15314,CENTRALFATOS,0,train,bertimbau_large
FAKEBR_001808,FAKEBR,0,train,bertimbau_large
FAKEBR_006810,FAKEBR,0,train,bertimbau_large
FAKEBR_005805,FAKEBR,1,train,bertimbau_large
CENTRALFATOS_review_14491,CENTRALFATOS,0,train,bertimbau_large
FAKEBR_004984,FAKEBR,0,train,bertimbau_large
CENTRALFATOS_review_04412,CENTRALFATOS,0,train,bertimbau_large
FRECOGNA_001216,FRECOGNA,0,train,bertimbau_large
FRECOGNA_001797,FRECOGNA,1,train,bertimbau_large
FAKEBR_002598,FAKEBR,0,train,bertimbau_large
CENTRALFATOS_review_13611,CENTRALFATOS,0,train,bertimbau_large
FRECOGNA_007554,FRECOGNA,0,train,bertimbau_large
FACTCKBR_000030_1,FACTCKBR,0,train,bertimbau_large
CENTRALFATOS_review_04762,CENTRALFATOS,0,train,bertimbau_large
FAKEBR_001914,FAKEBR,0,train,bertimbau_large
CENTRALFATOS_review_07451,CENTRALFATOS,0,train,bertimbau_large
CENTRALFATOS_review_04754,CENTRALFATOS,0,train,bertimbau_large
FAKETRUEBR_002907,FAKETRUEBR,1,train,bertimbau_large
FCN_001771,FCN,1,train,bertimbau_large
FRECOGNA_005987,FRECOGNA,0,train,bertimbau_large
FAKEBR_005592,FAKEBR,0,train,bertimbau_large
FRECOGNA_004252,FRECOGNA,1,train,bertimbau_large
FRECOGNA_010623,FRECOGNA,1,train,bertimbau_large
CENTRALFATOS_review_01629,CENTRALFATOS,0,train,bertimbau_large
FRECOGNA_003449,FRECOGNA,1,train,bertimbau_large
CENTRALFATOS_review_00840,CENTRALFATOS,0,train,bertimbau_large
CENTRALFATOS_review_00425,CENTRALFATOS,0,train,bertimbau_large
FRECOGNA_007002,FRECOGNA,0,train,bertimbau_large
FRECOGNA_009457,FRECOGNA,0,train,bertimbau_large
FNEWSSET_001386,FNEWSSET,1,train,bertimbau_large
FAKEBR_005242,FAKEBR,0,train,bertimbau_large
FRECOGNA_007755,FRECOGNA,1,train,bertimbau_large
MUMINPT_000840,MUMINPT,0,train,bertimbau_large
FAKEBR_002366,FAKEBR,0,train,bertimbau_large
COVID19BR_002636,COVID19BR,1,train,bertimbau_large
FNEWSSET_000129,FNEWSSET,1,train,bertimbau_large
FAKETRUEBR_001620,FAKETRUEBR,0,train,bertimbau_large
CENTRALFATOS_review_14275,CENTRALFATOS,0,train,bertimbau_large
CENTRALFATOS_review_02167,CENTRALFATOS,0,train,bertimbau_large
FRECOGNA_002378,FRECOGNA,1,train,bertimbau_large
FACTCKBR_000432,FACTCKBR,1,train,bertimbau_large
FRECOGNA_010143,FRECOGNA,0,train,bertimbau_large
FRECOGNA_010141,FRECOGNA,1,train,bertimbau_large
FAKEBR_002382,FAKEBR,0,train,bertimbau_large
FAKEBR_006214,FAKEBR,0,train,bertimbau_large
FAKEBR_004318,FAKEBR,0,train,bertimbau_large
FRECOGNA_009778,FRECOGNA,1,train,bertimbau_large
FRECOGNA_004791,FRECOGNA,1,train,bertimbau_large
FAKETRUEBR_001741,FAKETRUEBR,0,train,bertimbau_large
FRECOGNA_002886,FRECOGNA,0,train,bertimbau_large
COVID19BR_002387,COVID19BR,1,train,bertimbau_large
CENTRALFATOS_review_09512,CENTRALFATOS,0,train,bertimbau_large
COVID19BR_001267,COVID19BR,1,train,bertimbau_large
FAKEBR_004911,FAKEBR,1,train,bertimbau_large
CENTRALFATOS_review_04529,CENTRALFATOS,0,train,bertimbau_large
FACTCKBR_001163_1,FACTCKBR,0,train,bertimbau_large
FAKEBR_005578,FAKEBR,0,train,bertimbau_large
FAKEBR_004264,FAKEBR,0,train,bertimbau_large
MUMINPT_000361,MUMINPT,0,train,bertimbau_large
FRECOGNA_011719,FRECOGNA,1,train,bertimbau_large
FCN_001060,FCN,1,train,bertimbau_large
